Community Number,Community Name,Population,Area (km2),Density (/km2)
1,Rogers Park,55628,4.77,11672.81
2,West Ridge,77122,9.14,8435.36
3,Uptown,57182,6.01,9516.37
4,Lincoln Square,40494,6.63,6107.32
5,North Center,35114,5.31,6613.42
6,Lake View,103050,8.08,12752.44
7,Lincoln Park,70492,8.18,8612.96
8,Near North Side,105481,7.1,14863.58
9,Edison Park,11525,2.93,3937.88
10,Norwood Park,38303,11.32,3384.16
11,Jefferson Park,26216,6.03,4344.2
12,Forest Glen,19596,8.29,2364.38
13,North Park,17559,6.53,2690.29
14,Albany Park,48396,4.97,9732.13
15,Portage Park,63020,10.23,6160.01
16,Irving Park,51940,8.31,6247.36
17,Dunning,43147,9.63,4478.24
18,Montclare,14401,2.56,5616.39
19,Belmont Cragin,78116,10.13,7713.71
20,Hermosa,24062,3.03,7940.46
21,Avondale,36257,5.13,7070.12
22,Logan Square,71665,9.3,7707.48
23,Humboldt Park,54165,9.32,5809.2
24,West Town,87781,11.86,7400.05
25,Austin,96557,18.52,5214.08
26,West Garfield Park,17433,3.32,5258.5
27,East Garfield Park,19992,5,3999.44
28,Near West Side,67881,14.74,4606.13
29,North Lawndale,34794,8.31,4185.04
30,South Lawndale,71399,11.89,6005.92
31,Lower West Side,33751,7.59,4447.53
32,Loop,42298,4.27,9897.73
33,Near South Side,28795,4.61,6245.93
34,Armour Square,13890,2.59,5362.93
35,Douglas,20291,4.27,4748.09
36,Oakland,6799,1.5,4526.02
37,Fuller Park,2567,1.84,1395.94
38,Grand Boulevard,24589,4.51,5456.21
39,Kenwood,19116,2.69,7096.82
40,Washington Park,12707,3.94,3227.75
41,Hyde Park,29456,4.17,7063.95
42,Woodlawn,24425,5.36,4555.79
43,South Shore,53971,7.59,7112.01
44,Chatham,31710,7.64,4150.25
45,Avalon Park,9458,3.24,2921.39
46,South Chicago,27300,8.65,3155.85
47,Burnside,2527,1.58,1599.47
48,Calumet Heights,13088,4.53,2887.59
49,Roseland,38816,12.48,3109.31
50,Pullman,6820,5.49,1242.08
51,South Deering,14105,28.23,499.63
52,East Side,21724,7.72,2814.64
53,West Pullman,26104,9.22,2831.11
54,Riverdale,7262,9.14,794.29
55,Hegewisch,10027,13.57,738.82
56,Garfield Ridge,35439,10.96,3234.75
57,Archer Heights,14196,5.21,2726.9
58,Brighton Park,45053,7.04,6395.21
59,McKinley Park,15923,3.65,4360.19
60,Bridgeport,33702,5.41,6226
61,New City,43628,12.51,3487.53
62,West Elsdon,18394,3.03,6070.02
63,Gage Park,39540,5.7,6939.27
64,Clearing,24473,6.6,3705.5
65,West Lawn,33662,7.64,4405.73
66,Chicago Lawn,55931,9.14,6117.55
67,West Englewood,29647,8.16,3633.88
68,Englewood,24369,7.95,3064.78
69,Greater Grand Crossing,31471,9.19,3422.8
70,Ashburn,41098,12.59,3265.01
71,Auburn Gresham,44878,9.76,4596.13
72,Beverly,20027,8.24,2431.58
73,Washington Heights,25065,7.41,3383.78
74,Mount Greenwood,18628,7.02,2653.97
75,Morgan Park,21186,8.55,2478.76
76,O'Hare,13418,34.55,388.36
77,Edgewater,56296,4.51,12491.89
Total,Chicago,2746388,588.81,4664.29
